Datetime,Open,High,Low,Close,Volume
2024-10-24 07:00:00,1.07864,1.07932,1.07863,1.07927,1427
2024-10-24 08:00:00,1.07926,1.07927,1.0788,1.07883,1890
2024-10-24 09:00:00,1.07882,1.07902,1.07812,1.07822,3331
2024-10-24 10:00:00,1.07821,1.07982,1.077,1.07955,6469
2024-10-24 11:00:00,1.07954,1.08077,1.07954,1.08025,4904
2024-10-24 12:00:00,1.08024,1.08047,1.0795,1.07964,1845
2024-10-24 13:00:00,1.07965,1.08038,1.07957,1.07985,2453
2024-10-24 14:00:00,1.07984,1.08025,1.07915,1.07946,3022
2024-10-24 15:00:00,1.07947,1.08035,1.0788,1.07961,6060
2024-10-24 16:00:00,1.0796,1.08108,1.07947,1.07997,5766
2024-10-24 17:00:00,1.07998,1.08104,1.07965,1.07974,5788
2024-10-24 18:00:00,1.07975,1.0805,1.07959,1.08044,3559
2024-10-24 19:00:00,1.08045,1.08106,1.08021,1.08102,2768
2024-10-24 20:00:00,1.08103,1.08239,1.08101,1.08202,2312
2024-10-24 21:00:00,1.08201,1.08256,1.08173,1.08223,2285
2024-10-24 22:00:00,1.0822,1.08286,1.08206,1.08286,1940
2024-10-24 23:00:00,1.08287,1.08294,1.08259,1.08259,1375
2024-10-25 00:00:00,1.08249,1.08283,1.08233,1.08275,603
2024-10-25 01:00:00,1.08274,1.08282,1.08237,1.08238,553
2024-10-25 02:00:00,1.08237,1.08242,1.08222,1.08236,823
2024-10-25 03:00:00,1.08238,1.08246,1.08195,1.08213,2194
2024-10-25 04:00:00,1.08214,1.08245,1.08195,1.0823,2099
2024-10-25 05:00:00,1.08229,1.08271,1.08223,1.08254,1596
2024-10-25 06:00:00,1.08253,1.08254,1.08197,1.08213,1283
2024-10-25 07:00:00,1.08212,1.08227,1.082,1.08214,1488
2024-10-25 08:00:00,1.08212,1.08251,1.08204,1.08217,1753
2024-10-25 09:00:00,1.08218,1.08222,1.0814,1.08157,2464
2024-10-25 10:00:00,1.08155,1.08268,1.08132,1.08231,3520
2024-10-25 11:00:00,1.08231,1.08368,1.0821,1.08233,3861
2024-10-25 12:00:00,1.08232,1.08268,1.08216,1.0822,2344
2024-10-25 13:00:00,1.08221,1.08272,1.08219,1.08236,1873
2024-10-25 14:00:00,1.08237,1.08286,1.08209,1.08209,2420
2024-10-25 15:00:00,1.0821,1.08388,1.08205,1.08381,3733
2024-10-25 16:00:00,1.0838,1.08382,1.08251,1.08335,3932
2024-10-25 17:00:00,1.08334,1.08371,1.08263,1.08302,4895
2024-10-25 18:00:00,1.08301,1.08343,1.08103,1.08117,3696
2024-10-25 19:00:00,1.08116,1.08117,1.0802,1.08051,2569
2024-10-25 20:00:00,1.08053,1.08062,1.08016,1.08028,1985
2024-10-25 21:00:00,1.08027,1.08042,1.07983,1.08024,2192
2024-10-25 22:00:00,1.08023,1.08023,1.07925,1.07951,2299
2024-10-25 23:00:00,1.0795,1.07968,1.07942,1.07942,1454
2024-10-27 23:00:00,1.07915,1.07938,1.07865,1.07934,865
2024-10-28 00:00:00,1.07936,1.07978,1.07862,1.07953,2222
2024-10-28 01:00:00,1.07954,1.08011,1.07935,1.07956,1563
